question,answer,
Một con ong mật đang bay tại chỗ trong không trung đập cánh với tần số khoảng 300 Hz. Chu kì dao động của cánh ong là,"Chu kì dao động của cánh ong là:
T = 1/f = 1/300 = 3,33 (ms)",
Pit-tông của một động cơ đốt trong dao động trên một đoạn thẳng dài 16 cm và làm cho truỷu của động cơ quay đều. Biên dộ dao động của một điểm trên mặt pít-tông bằng?,"Ta có: L = 2A = 16 (cm)
=> Biên độ dao động A = 16/2 = 8 (cm)",
"Một chất điểm dao động với phương trình x = 10 cos(15t + π) (x tính bằng cm, t tính bằng s). Chất điểm này dao động với tần số góc là","Phương trình dao động điều hòa có dạng: x = Acos(ωt + φ)
Dựa vào phương trình, ta có: ω = 15 (rad/s)",
Một vật nhỏ dao động điều hòa thực hiện 50 dao động toàn phần trong 1 s. Tần số dao động của vật là,"Tần số dao động của vật là số dao động toàn phần vật thực hiện được trong 1s.
Từ khái niệm trên, ta có tần số dao động của vật: f = 50 (Hz)",
Một vật dao động điều hòa với phương trình x = -5cos(4πt) (cm). Biên độ và pha ban đầu của dao động lần lượt là,"Phương trình dao động điều hòa có dạng: x = Acos(ωt + φ) (Với A > 0)
Ta cần đưa phương trình ở đề bài về dạng chuẩn như trên:
x = -5cos(4πt) = 5cos(4πt + π) (cm)
Vậy biên độ và pha ban đầu của dao động lần lượt là 5 cm và π rad ",
"Một vật nhỏ dao động điều hòa theo phương trình x = Acos10t (t tính bằng s). Tại t = 2 s, pha của dao động là","Phương trình dao động điều hòa có dạng: x = Acos(ωt + φ)
Tại t = 2 s, pha của dao động là: ωt + φ = 10t = 10.2 = 20 rad",
"Một chất điểm dao động điều hòa với phương trình li độ x = 2cos(2πt + π/2) (x tính bằng cm, t tính bằng s). Tại thời điểm  t = 1/4 s chất điểm có li độ bằng","Thay t = 1/4  vào phương trình li độ x, ta có x = -2 cm",
"Một vật dao động điều hòa với phương trình x = 4cos4πt (x tính bằng cm, t tính bằng s). Khoảng thời gian giữa hai lần liên tiếp vật đi qua vị trí cân bằng là","Dựa vào phương trình đề bài, ta có ω = 4π (rad)
Mà ω = 2π/T => Chu kỳ: T = 0,5 (s)
Khoảng thời gian giữa hai lần liên tiếp vật đi qua vị trí cân bằng là T/2 = 0,5/2 = 0,25 s",
"Một vật dao động điều hòa với phương trình: x = 2cos(2πt - π/6) (cm)
a) Xác định biên độ, chu kì, tần số và pha ban đầu.
b) Xác định chiều dài quỹ đạo.
c) Khi t = 1s thì li độ của vật bằng bao nhiêu?","a, Phương trình dao động điều hòa có dạng: x = Acos(ωt + φ)
Dựa vào phương trình ở đề bài, ta có:
Biên độ: A = 2 (cm)
Tần số góc: ω = 2π/T = 2π => Chu kỳ: T = 1 (s)
Tần số: f = 1/T = 1 (Hz)
Pha ban đầu: φ = - π/6 (rad)
b, Chiều dài quỹ đạo: L = 2A = 4 (cm)
c, Thay t = 1 vào phương trình li độ x, ta có: x = √3 (cm)",
"Một vật dao động điều hòa với phương trình x = 4cos(2πt + π/2) cm. Xác định biên độ, chu kì và vị trí ban đầu của vật?","Phương trình dao động điều hòa có dạng: x = Acos(ωt + φ)
Dựa vào phương trình ở đề bài, ta có:
Biên độ: A = 4 (cm)
ω = 2π/T = 2π => Chu kỳ: T = 1 (s)
Pha ban đầu: φ = π/2 (rad) => Ban đầu vật ở vị trí cân bằng (vì tại thời điểm ban đầu (t = 0), ta có x = 4cos(π/2) = 0)
",
"Một vật dao động điều hòa dọc theo một trục Ox, quanh điểm gốc O, với biên độ A = 24 cm và chu kì T = 4 s. Tại thời điểm t = 0 vật có li độ là –A. Viết phương trình dao động của vật.","Ta có: A = 24 (cm)
ω = 2π/T = π/2 (rad/s)
Tại thời điểm t = 0 vật có li độ là -A => φ = π (rad)
Vậy phương trình dao động của vật là:
x = 24cos(πt/2 +π) (cm)
",
"Phương trình dao động của một vật là: x = 5cos(4πt+ π/2) (cm)
a) Xác định biên độ, tần số góc, chu kì và tần số của dao động.
b) Xác định pha của dao động tại thời điểm t = 0,25 s, từ đó suy ra li độ x tại thời điểm ấy.","a,Phương trình dao động điều hòa có dạng: x = Acos(ωt + φ)
Dựa vào phương trình ở đề bài, ta có:
Biên độ: A = 5 (cm)
Tần số góc: ω = 2π/T = 4π
Chu kỳ: T = 2π/ω = 0,5 (s)
Tần số: f = 1/T = 2 (Hz)
b, Pha dao động tại thời điểm t = 0,25 s là: φ = 4π.0,25 + π/2 = 3π/2
x = 5cos(3π/2) = 0 (cm)",
"Một vật dao động điều hòa với biên độ A = 8cm và chu kì T = 0,2s.Chọn gốc thời gian lúc vật qua vị trí cân bằng theo chiều âm. Viết phương trình dao động của vật.","Ta có: A = 8 (cm)
ω = 2π/T = 10π (rad/s)
Gốc thời gian lúc vật qua vị trí cân bằng theo chiều âm => φ = π/2 (rad)
*Giải thích: Tại thời điểm t = 0, ta có: x = Acosφ = 0 => cosφ = 0 => φ = ±π/2 rad
Vì v < 0, nên ta chọn φ = π/2 (rad) (v và φ luôn ngược dấu nhau)
Vậy phương trình dao động của vật là: x = 8cos(10πt + π/2) (cm)
",
Một vật dao động điều hòa với biên độ A = 12cm và chu kì T = 1s. Chọn gốc thời gian lúc vật qua vị trí cân bằng theo chiều dương. Viết phương trình dao động của vật.,"Ta có: A = 12 (cm)
ω = 2π/T = 2π (rad/s)
Gốc thời gian lúc vật qua vị trí cân bằng theo chiều dương => φ = -π/2 (rad)
*Giải thích: Tại thời điểm t = 0, ta có: x = Acosφ = 0 => cosφ = 0 => φ = ±π/2 rad
Vì v > 0, nên ta chọn φ = -π/2 (rad) (v và φ luôn ngược dấu nhau)
Vậy phương trình dao động của vật là: x = 12cos(2πt - π/2) (cm)
",
"Một con lắc lò xo dao động điều hòa với biên độ A = 4cm và tần số f =1Hz. Chọn gốc thời gian lúc vật qua vị trí cân bằng theo chiều dương, gốc tọa độ tại vị trí cân bằng của vật. Viết phương trình dao động của vật.","Ta có: A = 4 (cm)
ω = 2πf = 2π (rad/s)
Gốc thời gian lúc vật qua vị trí cân bằng theo chiều dương => φ = -π/2 (rad)
*Giải thích: Tại thời điểm t = 0, ta có: x = Acosφ = 0 => cosφ = 0 => φ = ±π/2 rad
Vì v > 0, nên ta chọn φ = -π/2 (rad) (v và φ luôn ngược dấu nhau)
Vậy phương trình dao động của vật là: x = 4cos(2πt - π/2) (cm)
",
"Một vật dao động điều hòa với biên độ A = 5cm, Trong 10 giây vật thực hiện được 20 dao động. Xác định phương trình dao động của vật biết rằng tại thời điểm ban đầu vật tại ví trí cân bằng theo chiều dương.","Ta có: A = 5 (cm)
Ta có khái niệm tần số f là số dao động vật thực hiện được trong 1s. Trong 10 giây vật thực hiện được 20 dao động => f = 20/10 = 2 (Hz) 
ω = 2πf = 4π (rad/s)
Gốc thời gian lúc vật qua vị trí cân bằng theo chiều dương => φ = -π/2 (rad)
*Giải thích: Tại thời điểm t = 0, ta có: x = Acosφ = 0 => cosφ = 0 => φ = ±π/2 rad
Vì v > 0, nên ta chọn φ = -π/2 (rad) (v và φ luôn ngược dấu nhau)
Vậy phương trình dao động của vật là: x = 5cos(4πt - π/2) (cm)
",
Một vật dao động trên trục Ox với phương trình có dạng 40.x + a = 0 với x và a lần lượt là li độ và gia tốc của vật. Lấy π^2 = 10. Dao động của vật là dao động có tần số góc là ,"Mối liên hệ giữa gia tốc và li độ trong dao động điều hòa là: a = -ω^2*x
Ta có: 40x + a = 0 <=> a = -40x <=> ω = 2√10 = 2π (rad/s)",
Chất điểm dao động điều hòa với phương trình x = 6cos(10t – 3π/2) cm.Li độ của chất điểm khi pha dao động bằng 2π/3 là,Pha dao động bằng 2π/3 => Phương trình giao động của vật là x = 6cos(2π/3) = -3 (cm),
"Một vật dao động điều hoà với phương trình x = Acos(ωt + φ), tại thời điểm t = 0 thì li độ x = A. Pha ban đầu của dao động là?","Tại thời điểm t = 0: x =Acos(φ) = A
=> cos(φ) = 1 => φ = 0 (rad)",
Dao động điều hoà có vận tốc cực đại là vmax = 8π cm/s và gia tốc cực đại amax= 16π^2 cm/s^2 thì biên độ của dao động là,"vmax = A.ω = 8π (cm/s)
amax = A.ω^2 = 16π^2 (cm/s^2)
Ta có: amax/ vmax = A.ω^2/A.ω = ω = 16π^2/8π = 2π (rad/s)
Biên độ: A = vmax/ω = 8π/2π = 4 (cm)",
"Một vật dao động điều hòa phải mất 0,25 s để đi từ điểm có tốc độ bằng không tới điểm tiếp theo cũng như vậy. Khoảng cách giữa hai điểm là 36cm. Biên độ và tần số của dao động này là","Vật có tốc độ bằng 0 tại vị trí 2 biên (biên dương và biên âm)
Để đi từ biên này đến biên kia mất khoảng thời gian là T/2 = 0,25 <=> T = 0,5 (s)
Tần số: f = 1/T = 2 (Hz)
Nửa chu kỳ (T/2) vật sẽ đi được quãng được là 2A = 36 <=> A = 18 (cm)
Vậy biên độ và tần số của dao động này lần lượt là 18 cm và 2 Hz",
"Một vật dao động điều hoà theo trục Ox, trong khoảng thời gian 1 phút 30 giây vật thực hiện được 180 dao động. Khi đó chu kì và tần số động của vật lần lượt là","Ta có khái niệm: Tần số là số dao động vật thực hiện được trong 1s 
Theo đề bài: Vật thực hiện được 180 dao động trong khoảng thời gian 1 phút 30 giây => Tần số: f = 180/90 = 2 (Hz)
Chu kì: T = 1/f = 1/2 = 0,5 (s)",
"Một chất điểm dao động điều hòa có phương trình x =Acos(ωt +φ), tại thời điểm ban đầu vật đi qua vị trí có li độ x = A/2 và đang chuyển động về gốc tọa độ thì pha ban đầu φ  bằng","Tại thời điểm ban đầu (t = 0): 
x = Acos(ω*0 + φ) = Acos(φ) = A/2 
<=> cos(φ) = 1/2 => φ = ± π/3
Vật đang chuyển động về gốc tọa độ (vật chuyển động theo chiều âm) nên φ > 0. Ta chọn φ = π/3 (rad)  
*Lưu ý: vật di chuyển theo chiều âm thì φ > 0 và ngược lại",
Vật dao động điều hòa theo phương trình x = 4 cos(ωt + φ). Tại thời điểm ban đầu vật có li độ 2cm và đang chuyển động ngược chiều dương của trục tọa độ.Pha ban đầu của dao động điều hòa là,"Tại thời điểm ban đầu (t = 0): 
x = 4cos(ω*0 + φ) = 4cos(φ) = 2 
<=> cos(φ) = 1/2 => φ = ± π/3
Vật đang chuyển động ngược chiều dương (vật chuyển động theo chiều âm) nên φ > 0. Ta chọn φ = π/3 (rad)  
*Lưu ý: vật di chuyển theo chiều âm thì φ > 0 và ngược lại",
"Một chất điểm dao động điều hòa, gia tốc a và li độ x của chất điểm liên hệ với nhau theo hệ thức a = -16π^2*x (cm/s^2). Chu kì của dao động bằng","Mối liên hệ giữa gia tốc và li độ trong dao động điều hòa là: a = -ω^2*x = -16π^2*x <=>  ω^2 = 16π^2 => ω = 4π (rad/s)  
Chu kì: T = 2π/ω = 0,5 (s)",
"Hai dao động có phương trình lần lượt là: x1= 5cos(2πt + 0,75π) (cm) và x2 =10cos(2πt + 0,5π) (cm). Độ lệch pha của hai dao động này có độ lớn bằng","Dao động x1 có pha dao động: φ1 = 2πt + 0,75π
Dao động x2 có pha dao động: φ2 = 2πt + 0,5π
Độ lệch pha: ∆φ = |φ1 - φ2| = 0,25π (rad)",
"Một vật tham gia đồng thời hai dao động điều hoà cùng phương, có phương trình lần lượt là x1 = 3sin(10t – π/3) cm và x2 = 4cos(10t + π/6) cm. Tốc độ cực đại của vật là","Ta đưa phương trình x1 về dạng chuẩn của dao động điều hòa x = Acos(ωt + φ)
x1 = 3sin(10t - π/3) = 3cos(10t - π/3 - π/2) = 3cos(10t - 5π/6) cm
Biên độ tổng hợp A = √[A1^2 + A2^2 +2A1*A2*cos(φ2 - φ1)] (1)
Thay A1 = 3, A2 = 4, φ1 = -5π/6, φ2 = π/6 vào (1), ta có: A = 1 (cm)
Tốc độ cực đại: vmax = A.ω = 1.10 = 10 (cm/s)
*Lưu ý: sin(α) = cos(α - π/2) ",
"Một vật tham gia đồng thời hai dao động điều hoà cùng phương, có phương trình lần lượt là x1 = 3cos(10t – π/3) cm và x2 = 4cos(10t + π/6) cm. Độ lớn gia tốc cực đại của vật là","Biên độ tổng hợp A = √[A1^2 + A2^2 +2A1*A2*cos(φ2 - φ1)] (1)
Thay A1 = 3, A2 = 4, φ1 = -π/3, φ2 = π/6 vào (1), ta có: A = 5 (cm)
Tốc độ cực đại: amax = A.ω^2 = 5.10^2 = 500 (cm/s^2)",
"Một vật thực hiện đồng thời 2 dao động điều hoà cùng phương, cùng tần số có phương trình x1 = cos(10πt + π/2) cm; x2 = cos(10πt + π) cm. Một vật thực hiện đồng thời hai dao động trên. Tính vận tốc trung bình của vật trong một chu kì dao động","Vận tốc trung bình: vtb = (x2 - x1)/(t2 - t1), Δx = x2 - x1 là độ dời. 
Trong một chu kì, vật trở lại vị trí ban đầu => Δx = 0
=> Vận tốc trung bình trong một chu kì luôn bằng 0
",
